page	ayah	ar	en	bn	surah	root
131	28	يُخۡفُونَ	conceal	তারা গোপন করতে	6	خفي
131	28	مِن	from	থেকে	6	من
131	28	قَبۡلُۖ	before	পূর্ব	6	قبل
131	28	وَلَوۡ	And if	এবং যদি	6	لو
131	28	رُدُّواْ	they were sent back	তারা প্রত্যাবর্তিত হয়ও	6	ردد
131	28	لَعَادُواْ	certainly they (would) return	অবশ্যই পুনরাবৃত্তি করবে	6	عود
131	28	لِمَا	to what	যা কিছু	6	لما
131	28	نُهُواْ	they were forbidden	তাদের নিষেধ করা হয়েছিলো	6	نهي
131	28	عَنۡهُ	from it	হতে তা	6	عن
131	28	وَإِنَّهُمۡ	and indeed they	এবং নিশ্চয়ই তারা	6	انن
131	28	لَكَٰذِبُونَ	certainly are liars	অবশ্যই মিথ্যাবাদী	6	كذب
131	29	وَقَالُوٓاْ	And they said	এবং তারা বলে	6	قول
131	29	إِنۡ	Not	"""নেই"	6	ان
131	29	هِيَ	it (is)	"""এটা (অর্থাৎ আখিরাতের জীবন)"	6	هي
131	29	إِلَّا	except	ছাড়া	6	اللا
131	29	حَيَاتُنَا	our life	জীবন আমাদের	6	حيي
131	29	ٱلدُّنۡيَا	(of) the world	পার্থিব	6	دنو
131	29	وَمَا	and not	এবং না	6	ما
131	29	نَحۡنُ	we	আমরা	6	نحن
131	29	بِمَبۡعُوثِينَ	(will be) resurrected	"উত্থিত হবো"""	6	بعث
131	30	وَلَوۡ	And if	এবং যদি	6	لو
131	30	تَرَىٰٓ	you (could) see	দেখতে তুমি (সে অবস্থা)	6	راي
131	30	إِذۡ	when	যখন	6	اذ
131	30	وُقِفُواْ	they will be made to stand	তাদের দাঁড় করানো হবে	6	وقف
131	30	عَلَىٰ	before	সামনে	6	علي
131	30	رَبِّهِمۡۚ	their Lord	রবের তাদের	6	ربب
131	30	قَالَ	He (will) say	(আল্লাহ) বলবেন	6	قول
131	30	أَلَيۡسَ	Is not	"""কি নয়"	6	ليس
131	30	هَٰذَا	this	এই (উত্থান)	6	هاذ
131	30	بِٱلۡحَقِّۚ	the truth?	"ভাবে সঠিক"""	6	حقق
131	30	قَالُواْ	They will say	তারা বলবে	6	قول
131	30	بَلَىٰ	Yes	"""হ্যাঁ"	6	بلي
131	30	وَرَبِّنَاۚ	by our Lord	"শপথ রবের আমাদের"""	6	ربب
131	30	قَالَ	He (will) say	বলবেন তিনি	6	قول
131	30	فَذُوقُواْ	So taste	"""তাহ'লে তোমরা স্বাদ নাও"	6	ذوق
131	30	ٱلۡعَذَابَ	the punishment	শাস্তির	6	عذب
131	30	بِمَا	because	এ কারণে যা	6	بما
131	30	كُنتُمۡ	you used to	তোমরা ছিলে	6	كون
131	30	تَكۡفُرُونَ	disbelieve	"তোমরা অস্বীকার করতে"""	6	كفر
131	31	قَدۡ	Indeed	নিশ্চয়ই	6	قد
131	31	خَسِرَ	incurred loss	ক্ষতিগ্রস্ত হয়েছে	6	خسر
131	31	ٱلَّذِينَ	those who	যারা	6	اللذ
131	31	كَذَّبُواْ	denied	মিথ্যা আরোপ করেছে	6	كذب
131	31	بِلِقَآءِ	in (the) meeting	প্রতি সাক্ষাতের	6	لقي
131	31	ٱللَّهِۖ	(with) Allah	আল্লাহর	6	اله
131	31	حَتَّىٰٓ	until	এমনকি	6	حتتي
131	31	إِذَا	when	যখন	6	اذا
131	31	جَآءَتۡهُمُ	came to them	কাছে আসবে তাদের	6	جيا
131	31	ٱلسَّاعَةُ	the Hour	ক্বিয়ামাত	6	سوع
131	31	بَغۡتَةٗ	suddenly	হঠাৎ	6	بغت
131	31	قَالُواْ	they said	তারা বলবে	6	قول
131	31	يَٰحَسۡرَتَنَا	Oh! Our regret	"""হায় আক্ষেপ আমাদের"	6	حسر
131	31	عَلَىٰ	over	এর উপর	6	علي
131	31	مَا	what	যা	6	ما
131	31	فَرَّطۡنَا	we neglected	অবজ্ঞা করেছি আমরা	6	فرط
131	31	فِيهَا	concerning it	"মধ্যে তার"""	6	في
131	31	وَهُمۡ	while they	এবং তারা	6	هم
131	31	يَحۡمِلُونَ	will bear	বহন করবে	6	حمل
131	31	أَوۡزَارَهُمۡ	their burdens	বোঝাসমূহ তাদের	6	وزر
131	31	عَلَىٰ	on	উপর	6	علي
131	31	ظُهُورِهِمۡۚ	their backs	পিঠগুলোর তাদের	6	ظهر
131	31	أَلَا	Unquestionably!	সাবধান	6	لا
131	31	سَآءَ	Evil	নিকৃষ্ট	6	سوا
131	31	مَا	(is) what	যা	6	ما
131	31	يَزِرُونَ	they bear	তারা বহন করবে	6	وزر
131	32	وَمَا	And not	এবং নয়	6	ما
131	32	ٱلۡحَيَوٰةُ	(is) the life	জীবন	6	حيي
131	32	ٱلدُّنۡيَآ	(of) the world	পার্থিব	6	دنو
131	32	إِلَّا	except	এ ছাড়া	6	اللا
131	32	لَعِبٞ	a play	ক্রীড়া	6	لعب
131	32	وَلَهۡوٞۖ	and amusement	ও কৌতুক	6	لهو
131	32	وَلَلدَّارُ	but the home	এবং অবশ্যই আবাস	6	دور
131	32	ٱلۡأٓخِرَةُ	(of) the Hereafter	আখিরাতের	6	اخر
131	32	خَيۡرٞ	(is) best	উত্তম	6	خير
131	32	لِّلَّذِينَ	for those who	জন্যে তাদের (যারা)	6	اللذ
131	32	يَتَّقُونَۚ	(are) God conscious	আত্মরক্ষা করে চলে	6	وقي
131	32	أَفَلَا	Then not	কি তবুও না	6	لا
131	32	تَعۡقِلُونَ	(will) you reason?	তোমরা বুঝবে	6	عقل
131	33	قَدۡ	Indeed	নিশ্চয়ই	6	قد
131	33	نَعۡلَمُ	We know	জানি আমরা	6	علم
131	33	إِنَّهُۥ	that it	নিশ্চয়ই তা	6	انن
131	33	لَيَحۡزُنُكَ	grieves you	অবশ্যই দুঃখ দেয় তোমাকে	6	حزن
131	33	ٱلَّذِي	what	যা	6	اللذ
131	33	يَقُولُونَۖ	they say	তারা বলে	6	قول
131	33	فَإِنَّهُمۡ	And indeed they	তবে নিশ্চয়ই তারা	6	انن
131	33	لَا	(do) not	না	6	لا
131	33	يُكَذِّبُونَكَ	deny you	তোমাকে মিথ্যারোপ করে	6	كذب
131	33	وَلَٰكِنَّ	but	কিন্তু	6	لكن
131	33	ٱلظَّٰلِمِينَ	the wrongdoers 	সীমালঙ্ঘনকারীরা	6	ظلم
131	33	بِـَٔايَٰتِ	the Verses	প্রতি নিদর্শনাবলীর	6	ايا
131	33	ٱللَّهِ	(of) Allah	আল্লাহর	6	اله
131	33	يَجۡحَدُونَ	they reject	অস্বীকার করেছে	6	جحد
131	34	وَلَقَدۡ	And surely	এবং নিশ্চয়ই	6	قد
131	34	كُذِّبَتۡ	were rejected	মিথ্যারোপ করা হয়েছে	6	كذب
131	34	رُسُلٞ	Messengers	রাসূলদেরকে	6	رسل
131	34	مِّن	from	থেকে	6	من
131	34	قَبۡلِكَ	before you	পূর্ব তোমার	6	قبل
131	34	فَصَبَرُواْ	but they were patient	তবে তারা ধৈর্য্য ধরেছে	6	صبر
131	34	عَلَىٰ	over	এর উপর	6	علي
131	34	مَا	what	যাকিছু	6	ما
131	34	كُذِّبُواْ	they were rejected	তাদের মিথ্যারোপ করা হয়েছে	6	كذب
131	34	وَأُوذُواْ	and they were harmed	ও তাদের কষ্ট দেয়া হয়েছে	6	اذي
131	34	حَتَّىٰٓ	until	যতক্ষণ না	6	حتتي
131	34	أَتَىٰهُمۡ	came to them	কাছে এসেছে তাদের	6	اتي
131	34	نَصۡرُنَاۚ	Our help	সাহায্য আমাদের	6	نصر
131	34	وَلَا	And no	ও নেই	6	لا
131	34	مُبَدِّلَ	one (can) alter	কোনো পরিবর্তনকারী	6	بدل
131	34	لِكَلِمَٰتِ	(the) words	জন্যে বাণীসমূহের	6	كلم
131	34	ٱللَّهِۚ	(of) Allah	আল্লাহর	6	اله
131	34	وَلَقَدۡ	and surely	এবং নিশ্চয়ই	6	قد
131	34	جَآءَكَ	has come to you	তোমার কাছে এসেছে	6	جيا
131	34	مِن	of	কিছু	6	من
131	34	نَّبَإِيْ	(the) news	খবর	6
131	34	ٱلۡمُرۡسَلِينَ	(of) the Messengers	রাসূলদের (সম্পর্কে)	6	رسل
131	35	وَإِن	And if	এবং যদি	6	ان
131	35	كَانَ	is	হয়	6	كون
131	35	كَبُرَ	difficult	কষ্টকর	6	كبر
131	35	عَلَيۡكَ	for you	তোমার উপর	6	علي
131	35	إِعۡرَاضُهُمۡ	their aversion	উপেক্ষা করা তাদের	6	عرض
131	35	فَإِنِ	then if	তবে যদি	6	ان
131	35	ٱسۡتَطَعۡتَ	you are able	তুমি সমর্থ হও	6	طوع
131	35	أَن	to	যে	6	ان
131	35	تَبۡتَغِيَ	seek	সন্ধান করো তুমি	6	بغي
131	35	نَفَقٗا	a tunnel	কোনো সুড়ঙ্গ	6	نفق
131	35	فِي	in	মধ্যে	6	في
131	35	ٱلۡأَرۡضِ	the earth	মাটির	6	ارض
131	35	أَوۡ	or	বা	6	او
131	35	سُلَّمٗا	a ladder	সিঁড়ি (চড়ার জন্যে)	6	سلم
131	35	فِي	into	মধ্যে	6	في
131	35	ٱلسَّمَآءِ	the sky	আকাশের	6	سمو
131	35	فَتَأۡتِيَهُم	so that you bring to them	অতঃপর কাছে আসো তাদের	6	اتي
131	35	بِـَٔايَةٖۚ	a Sign	নিয়ে কোনো নিদর্শন	6	ايا
131	35	وَلَوۡ	But if	এবং যদি	6	لو
131	35	شَآءَ	(had) willed	ইচ্ছে করতেন	6	شيا
131	35	ٱللَّهُ	Allah	আল্লাহ(তবে)	6	اله
131	35	لَجَمَعَهُمۡ	surely He (would) have gathered them	অবশ্যই একত্র করতেন তাদের	6	جمع
131	35	عَلَى	on	উপর	6	علي
131	35	ٱلۡهُدَىٰۚ	the guidance	সৎপথের	6	هدي
131	35	فَلَا	So (do) not	অতএব না	6	لا
131	35	تَكُونَنَّ	be	তুমি হয়ো	6	كون
131	35	مِنَ	of	অন্তর্ভুক্ত	6	من
131	35	ٱلۡجَٰهِلِينَ	the ignorant	মূর্খদের	6	جهل
132	36	۞إِنَّمَا	Only	প্রকৃতপক্ষে	6	اننم
132	36	يَسۡتَجِيبُ	respond	ডাকে সাড়া দেয়	6	جوب
132	36	ٱلَّذِينَ	those who	(তারাই) যারা	6	اللذ
132	36	يَسۡمَعُونَۘ	listen	যারা শোনে	6	سمع
132	36	وَٱلۡمَوۡتَىٰ	But the dead 	এবং মৃতদেরকে	6	موت
132	36	يَبۡعَثُهُمُ	will resurrect them	উজ্জীবিত করবেন তাদের	6	بعث
132	36	ٱللَّهُ	Allah	আল্লাহ	6	اله
132	36	ثُمَّ	then	এরপর	6	ثمم
132	36	إِلَيۡهِ	to Him	দিকে তাঁরই	6	الي
132	36	يُرۡجَعُونَ	they will be returned	তাদের ফিরিয়ে আনা হবে	6	رجع
132	37	وَقَالُواْ	And they said	এবং তারা বলে	6	قول
132	37	لَوۡلَا	Why (is) not	"""কেন না"	6	لولا
132	37	نُزِّلَ	sent down	অবতীর্ণ করা হয়	6	نزل
132	37	عَلَيۡهِ	to him	উপর তার	6	علي
132	37	ءَايَةٞ	a Sign	কোনো নিদর্শন	6	ايا
132	37	مِّن	from	পক্ষ হতে	6	من
132	37	رَّبِّهِۦۚ	his Lord?	"রবের তার"""	6	ربب
132	37	قُلۡ	Say	বলো	6	قول
132	37	إِنَّ	Indeed	"""নিশ্চয়ই"	6	انن
132	37	ٱللَّهَ	Allah	আল্লাহ	6	اله
132	37	قَادِرٌ	(is) Able	সক্ষম	6	قدر
132	37	عَلَىٰٓ	[on]	এর উপর	6	علي
132	37	أَن	to	যে	6	انن
132	37	يُنَزِّلَ	send down	অবতীর্ণ করবেন	6	نزل
132	37	ءَايَةٗ	a Sign	কোনো নিদর্শন	6	ايا
132	37	وَلَٰكِنَّ	but	কিন্তু	6	لكن
132	37	أَكۡثَرَهُمۡ	most of them	অধিকাংশই তাদের	6	كثر
132	37	لَا	(do) not	না	6	لا
132	37	يَعۡلَمُونَ	know	"তারা জানে"""	6	علم
132	38	وَمَا	And not	এবং নেই	6	ما
132	38	مِن	[of]	কোনো	6	من
132	38	دَآبَّةٖ	any animal	বিচরণশীল জন্তু	6	دبب
132	38	فِي	in	মধ্যে	6	في
132	38	ٱلۡأَرۡضِ	the earth	পৃথিবীর	6	ارض
132	38	وَلَا	and not	আর না	6	لا
132	38	طَٰٓئِرٖ	a bird	পাখি (যা)	6	طير
132	38	يَطِيرُ	(that) flies	উড়ে	6	طير
132	38	بِجَنَاحَيۡهِ	with its wings 	দিয়ে দু'ডানা তার	6	جنح
132	38	إِلَّآ	but	এছাড়া যে (তারাও)	6	اللا
132	38	أُمَمٌ	(are) communities	জাতি (প্রজাতি)	6	امم
132	38	أَمۡثَالُكُمۚ	like you	মতো তোমাদের	6	مثل
132	38	مَّا	Not	না	6	ما
132	38	فَرَّطۡنَا	We have neglected	ক্রুটি রেখেছি আমরা (নিয়তি নির্ধারণে)	6	فرط
132	38	فِي	in	মধ্যে	6	في
132	38	ٱلۡكِتَٰبِ	the Book	কিতাবের	6	كتب
132	38	مِن	[of]	কোনো	6	من
132	38	شَيۡءٖۚ	anything	কিছুই	6	شيا
132	38	ثُمَّ	then	এরপর	6	ثمم
132	38	إِلَىٰ	to	দিকে	6	اللا
132	38	رَبِّهِمۡ	their Lord	রবের তাদের	6	ربب
132	38	يُحۡشَرُونَ	they will be gathered	তাদের একত্র করা হবে	6	حشر
132	39	وَٱلَّذِينَ	And those who	এবং যারা	6	اللذ
132	39	كَذَّبُواْ	rejected	মিথ্যারোপ করেছে	6	كذب
132	39	بِـَٔايَٰتِنَا	Our Verses	নিয়ে নিদর্শনগুলোর আমাদের	6	ايا
132	39	صُمّٞ	(are) deaf	(তারা) বধির	6	صمم
132	39	وَبُكۡمٞ	and dumb	ও বোবা	6	بكم
132	39	فِي	in	(তারা আছে) মধ্যে	6	في
132	39	ٱلظُّلُمَٰتِۗ	the darkness[es]	অন্ধকারের	6	ظلم
132	39	مَن	Whoever	যাকে	6	من
132	39	يَشَإِ	wills	ইচ্ছে করেন	6	شيا
132	39	ٱللَّهُ	Allah 	আল্লাহ	6	اله
132	39	يُضۡلِلۡهُ	He lets him go astray	পথভ্রষ্ট করেন তাকে	6	ضلل
132	39	وَمَن	and whoever	এবং যাকে	6	من
132	39	يَشَأۡ	He wills 	ইচ্ছে করেন	6	شيا
132	39	يَجۡعَلۡهُ	He places him	রাখেন তাকে	6	جعل
132	39	عَلَىٰ	on	উপর	6	علي
132	39	صِرَٰطٖ	(the) way	পথের	6	صرط
132	39	مُّسۡتَقِيمٖ	(the) straight	সরল-সোজা	6	قوم
132	40	قُلۡ	Say	বলো	6	قول
132	40	أَرَءَيۡتَكُمۡ	Have you seen	"""কি তোমরা (ভেবে) দেখেছো"	6	راي
132	40	إِنۡ	if	যদি	6	ان
132	40	أَتَىٰكُمۡ	(there) came to you	কাছে আসে তোমাদের	6	اتي
132	40	عَذَابُ	punishment	শাস্তি	6	عذب
132	40	ٱللَّهِ	(of) Allah	আল্লাহর	6	اله
132	40	أَوۡ	or	বা	6	او
132	40	أَتَتۡكُمُ	(there) came to you	কাছে আসে তোমাদের	6	اتي
132	40	ٱلسَّاعَةُ	the Hour 	ক্বিয়ামাত	6	سوع
132	40	أَغَيۡرَ	is it other	(তবে) কি ছাড়া	6	غير
132	40	ٱللَّهِ	(than) Allah	আল্লাহ	6	اله
132	40	تَدۡعُونَ	you call	ডাকবে তোমরা (অন্য কাউকে)	6	دعو
132	40	إِن	if	যদি	6	ان
132	40	كُنتُمۡ	you are	হও তোমরা	6	كون
132	40	صَٰدِقِينَ	truthful?	"সত্যবাদী (তবে উত্তর দাও)"""	6	صدق
132	41	بَلۡ	Nay	"""(না) বরং"	6	بل
132	41	إِيَّاهُ	Him Alone	শুধু তাঁকেই	6	ايي
132	41	تَدۡعُونَ	you call	ডাকো তোমরা	6	دعو
132	41	فَيَكۡشِفُ	and He would remove	অতঃপর তিনি দূর করেন	6	كشف
132	41	مَا	what	যে জন্য	6	ما
132	41	تَدۡعُونَ	you call	তোমরা ডাকো (দু'আ করো)	6	دعو
132	41	إِلَيۡهِ	upon Him	কাছে তাঁর	6	الي
132	41	إِن	if	যদি	6	ان
132	41	شَآءَ	He wills	তিনি ইচ্ছে করেন	6	شيا
132	41	وَتَنسَوۡنَ	and you will forget	এবং (তখন) তোমরা ভুলে যাও	6	نسي
132	41	مَا	what	যাকে	6	ما
132	41	تُشۡرِكُونَ	you associate (with Him)	"তোমরা শিরক করে থাকো"""	6	شرك
132	42	وَلَقَدۡ	And certainly	এবং নিশ্চয়ই	6	قد
132	42	أَرۡسَلۡنَآ	We sent (Messengers)	পাঠিয়েছি আমরা (রাসূলগণকে)	6	رسل
132	42	إِلَىٰٓ	to	প্রতি	6	الي
132	42	أُمَمٖ	nations	জাতিগুলোর)	6	امم
132	42	مِّن	from	থেকে	6	من
132	42	قَبۡلِكَ	before you	পূর্ব তোমার	6	قبل
132	42	فَأَخَذۡنَٰهُم	then We seized them	অতঃপর আমরা ধরেছি তাদেরকে	6	اخذ
132	42	بِٱلۡبَأۡسَآءِ	with adversity	দিয়ে অর্থসংকট	6	باس
132	42	وَٱلضَّرَّآءِ	and hardship	ও দুঃখদৈন্য(দিয়ে)	6	ضرر
132	42	لَعَلَّهُمۡ	so that they may	যাতে তারা	6	لعلل
132	42	يَتَضَرَّعُونَ	humble themselves	বিনীত হয়	6	ضرع
132	43	فَلَوۡلَآ	Then why not	অতঃপর কেন না	6	لولا
132	43	إِذۡ	when	যখন	6	اذ
132	43	جَآءَهُم	came to them	এসেছিলো তাদের (কাছে)	6	جيا
132	43	بَأۡسُنَا	Our punishment	শাস্তি আমাদের	6	باس
132	43	تَضَرَّعُواْ	they humbled themselves?	তারা বিনীত হলো	6	ضرع
132	43	وَلَٰكِن	But	বরং	6	لكن
132	43	قَسَتۡ	became hardened	শক্ত হয়ে গেলো	6	قسو
132	43	قُلُوبُهُمۡ	their hearts	অন্তরগুলো তাদের	6	قلب
132	43	وَزَيَّنَ	and made fairseeming	এবং সুশোভিত করেছিলো	6	زين
132	43	لَهُمُ	to them	জন্যে তাদের	6	ل
132	43	ٱلشَّيۡطَٰنُ	the Shaitaan	শয়তান	6	شطن
132	43	مَا	what	যা	6	ما
132	43	كَانُواْ	they used to	তারা ছিলো	6	كون
132	43	يَعۡمَلُونَ	do	কাজ করতে	6	عمل
132	44	فَلَمَّا	So when	অতঃপর যখন	6	لمما
132	44	نَسُواْ	they forgot	তারা ভুলে গেল	6	نسي
132	44	مَا	what	যা	6	ما
132	44	ذُكِّرُواْ	they were reminded	তাদের উপদেশ দেয়া হয়েছিলো	6	ذكر
132	44	بِهِۦ	of [it]	সম্পর্কে সে	6	ب
132	44	فَتَحۡنَا	We opened	তখন খুলে দিলাম আমরা	6	فتح
132	44	عَلَيۡهِمۡ	on them	উপর তাদের	6	علي
132	44	أَبۡوَٰبَ	gates	(স্বচ্ছলতার) দরজাসমূহ	6	بوب
132	44	كُلِّ	(of) every	সব	6	كلل
132	44	شَيۡءٍ	thing	কিছুর	6	شيا
132	44	حَتَّىٰٓ	until	এমনকি	6	حتتي
132	44	إِذَا	when	যখন	6	اذا
132	44	فَرِحُواْ	they rejoiced	তারা উল্লসিত হলো	6	فرح
132	44	بِمَآ	in what	নিয়ে তা যা	6	بما
132	44	أُوتُوٓاْ	they were given	তাদের দেয়া হয়েছিলো	6	اتي
132	44	أَخَذۡنَٰهُم	We seized them	আমরা ধরলাম তাদের	6	اخذ
132	44	بَغۡتَةٗ	suddenly	হঠাৎ	6	بغت
132	44	فَإِذَا	and then	ফলে তখন	6	اذا
132	44	هُم	they	তারা	6	هم
132	44	مُّبۡلِسُونَ	(were) dumbfounded	নিরাশ হয়ে পড়লো	6	بلس
133	45	فَقُطِعَ	So was cut off	অতঃপর উচ্ছেদ করা হলো	6	قطع
133	45	دَابِرُ	(the) remnant	মূল	6	دبر
133	45	ٱلۡقَوۡمِ	(of) the people	(ঐ)সম্প্রদায়ের	6	قوم
133	45	ٱلَّذِينَ	[those] who	যারা	6	اللذ
133	45	ظَلَمُواْۚ	did wrong	সীমালঙ্ঘন করেছিলো	6	ظلم
133	45	وَٱلۡحَمۡدُ	And all praises and thanks	আর সব প্রশংসা	6	حمد
133	45	لِلَّهِ	(be) to Allah	জন্যে আল্লাহরই	6	اله
133	45	رَبِّ	Lord	(যিনি) রব	6	ربب
133	45	ٱلۡعَٰلَمِينَ	(of) the worlds	বিশ্বজগতের	6	علم
133	46	قُلۡ	Say	বলো	6	قول
133	46	أَرَءَيۡتُمۡ	Have you seen	"""কি (ভেবে) দেখছো তোমরা"	6	راي
133	46	إِنۡ	if	যদি	6	ان
133	46	أَخَذَ	took away	কেড়ে নেন	6	اخذ
133	46	ٱللَّهُ	Allah	আল্লাহ	6	اله
133	46	سَمۡعَكُمۡ	your hearing	শ্রবণশক্তি তোমাদের	6	سمع
133	46	وَأَبۡصَٰرَكُمۡ	and your sight	ও দৃষ্টিশক্তি তোমাদের	6	بصر
133	46	وَخَتَمَ	and sealed	এবং সিল লাগান	6	ختم
133	46	عَلَىٰ	[on]	উপর	6	علي
133	46	قُلُوبِكُم	your hearts	অন্তরগুলোর তোমাদের	6	قلب
133	46	مَّنۡ	who	কোনো	6	من
133	46	إِلَٰهٌ	(is the) god	ইলাহ (আছে)	6	اله
133	46	غَيۡرُ	other than	ছাড়া	6	غير
133	46	ٱللَّهِ	Allah	আল্লাহ (যে)	6	اله
133	46	يَأۡتِيكُم	to bring [back] to you	কাছে আসবে তোমাদের	6	اتي
133	46	بِهِۗ	with it?	নিয়ে তা	6	ب
133	46	ٱنظُرۡ	See	দেখো	6	نظر
133	46	كَيۡفَ	how	কেমনভাবে	6	كيف
133	46	نُصَرِّفُ	We explain	বারবার বর্ণনা করি আমরা	6	صرف
133	46	ٱلۡأٓيَٰتِ	the Signs	নিদর্শনগুলো	6	ايا
133	46	ثُمَّ	yet	এরপরও	6	ثمم
133	46	هُمۡ	they	তারা	6	هم
133	46	يَصۡدِفُونَ	turn away	"তারা মুখ ফিরিয়ে নেয়"""	6	صدف
133	47	قُلۡ	Say	বলো	6	قول
133	47	أَرَءَيۡتَكُمۡ	Have you seen	"""(ভেবে) দেখছো কি তোমরা"	6	راي
133	47	إِنۡ	if	যদি	6	ان
133	47	أَتَىٰكُمۡ	comes to you	কাছে এসে পড়ে তোমাদের	6	اتي
133	47	عَذَابُ	punishment	শাস্তি	6	عذب
133	47	ٱللَّهِ	(of) Allah	আল্লাহর	6	اله
133	47	بَغۡتَةً	suddenly	হঠাৎ	6	بغت
133	47	أَوۡ	or	বা	6	او
133	47	جَهۡرَةً	openly	প্রকাশ্যে	6	جهر
133	47	هَلۡ	will	কি	6	هل
133	47	يُهۡلَكُ	(any) be destroyed	ধ্বংস করা হবে	6	هلك
133	47	إِلَّا	except	এ ছাড়া	6	اللا
133	47	ٱلۡقَوۡمُ	the people 	(যারা)সম্প্রদায়	6	قوم
133	47	ٱلظَّٰلِمُونَ	the wrongdoers?	সীমালঙ্ঘনকারী	6	ظلم
133	48	وَمَا	And not	এবং না	6	ما
133	48	نُرۡسِلُ	We send	আমরা পাঠিয়েছি	6	رسل
133	48	ٱلۡمُرۡسَلِينَ	the Messengers	রাসূলগণকে	6	رسل
133	48	إِلَّا	except	এ ছাড়া যে	6	اللا
133	48	مُبَشِّرِينَ	(as) bearer of glad tidings	সুসংবাদদাতা	6	بشر
133	48	وَمُنذِرِينَۖ	and (as) warners	ও সতর্ককারী (হিসেবে)	6	نذر
133	48	فَمَنۡ	So whoever	অতএব যে	6	من
133	48	ءَامَنَ	believed	ঈমান আনবে	6	امن
133	48	وَأَصۡلَحَ	and reformed	ও সংশোধন করবে	6	صلح
133	48	فَلَا	then no	সেক্ষেত্রে নেই	6	لا
133	48	خَوۡفٌ	fear	কোনো ভয়	6	خوف
133	48	عَلَيۡهِمۡ	upon them	উপর তাদের	6	علي
133	48	وَلَا	and not	আর না	6	لا
133	48	هُمۡ	they	তারা	6	هم
133	48	يَحۡزَنُونَ	will grieve	দুঃখিত হবে	6	حزن
133	49	وَٱلَّذِينَ	And those who	এবং যারা	6	اللذ
133	49	كَذَّبُواْ	denied	মিথ্যারোপ করেছে	6	كذب
133	49	بِـَٔايَٰتِنَا	[in] Our Verses	প্রতি নিদর্শনগুলোর আমার	6	ايا
133	49	يَمَسُّهُمُ	will touch them	স্পর্শ করবে তাদের	6	مسس
133	49	ٱلۡعَذَابُ	the punishment	শাস্তি	6	عذب
133	49	بِمَا	for what	এ কারণে যে	6	بما
133	49	كَانُواْ	they used to	তারা ছিলো	6	كون
133	49	يَفۡسُقُونَ	defiantly disobey	তারা সত্যত্যাগ করে	6	فسق
133	50	قُل	Say	(হে নাবী) বলো	6	قول
133	50	لَّآ	Not	"""না"	6	لا
133	50	أَقُولُ	(do) I say	"""আমি বলি"	6	قول
133	50	لَكُمۡ	to you	উদ্দেশ্যে তোমাদের (যে)	6	ل
133	50	عِندِي	(that) with me	কাছে আমার (আছে)	6	عند
133	50	خَزَآئِنُ	(are the) treasures	ধনভান্ডারসমূহ	6	خزن
133	50	ٱللَّهِ	(of) Allah	আল্লাহর	6	اله
133	50	وَلَآ	and not	এবং না	6	لا
133	50	أَعۡلَمُ	(that) I know	জানি আমি	6	علم
133	50	ٱلۡغَيۡبَ	the unseen	অদৃশ্যকে	6	غيب
133	50	وَلَآ	and not	এবং না	6	لا
133	50	أَقُولُ	I say	বলি আমি	6	قول
133	50	لَكُمۡ	to you	উদ্দেশ্যে তোমাদের (যে)	6	ل
133	50	إِنِّي	that I (am)	নিশ্চয়ই আমি	6	انن
133	50	مَلَكٌۖ	an Angel	ফেরেশতা	6	ملك
133	50	إِنۡ	Not	(প্রকৃতপক্ষে) না	6	ان
133	50	أَتَّبِعُ	(do) I follow	অনুসরণ করি আমি	6	تبع
133	50	إِلَّا	except	এ ছাড়া	6	اللا
133	50	مَا	what	যা	6	ما
133	50	يُوحَىٰٓ	is revealed	ওহী করা হয়	6	وحي
133	50	إِلَيَّۚ	to me	"আমার প্রতি"""	6	الي
133	50	قُلۡ	Say	বলো	6	قول
133	50	هَلۡ	Can	"""কি"	6	هل
133	50	يَسۡتَوِي	be equal	সমান হয়	6	سوي
133	50	ٱلۡأَعۡمَىٰ	the blind	অন্ধ	6	عمي
133	50	وَٱلۡبَصِيرُۚ	and the seeing one?	"আর চক্ষুষ্মান"""	6	بصر
133	50	أَفَلَا	Then will not	কি তবে না	6	لا
133	50	تَتَفَكَّرُونَ	you give thought?	তোমরা চিন্তা করো	6	فكر
133	51	وَأَنذِرۡ	And warn	আর (হে নাবী) তুমি সতর্ক করো	6	نذر
133	51	بِهِ	with it	সম্পর্কে এ	6	ب
133	51	ٱلَّذِينَ	those who	(তাদেরকে) যারা	6	اللذ
133	51	يَخَافُونَ	fear	ভয় করে	6	خوف
133	51	أَن	that	যে	6	ان
133	51	يُحۡشَرُوٓاْ	they will be gathered	একত্র করা হবে	6	حشر
133	51	إِلَىٰ	to	দিকে	6	الي
133	51	رَبِّهِمۡ	their Lord	রবের তাদের	6	ربب
133	51	لَيۡسَ	not	নেই	6	ليس
133	51	لَهُم	for them	জন্যে তাদের	6	ل
133	51	مِّن	of	দিয়ে	6	من
133	51	دُونِهِۦ	other than Him	বাদ তাঁকে	6	دون
133	51	وَلِيّٞ	any protector	কোনো অভিভাবক	6	ولي
133	51	وَلَا	and not	এবং না	6	لا
133	51	شَفِيعٞ	any intercessor	কোনো সুপারিশকারী	6	شفع
133	51	لَّعَلَّهُمۡ	so that they may	যাতে তারা	6	لعلل
